FID,FID_1,city,holc_grade,holc_id,name,geometry_k,uf_unique_,Shape__Are,Shape__Len,Shape__Area,Shape__Length
228,228,Los Angeles,C,C143, ,5e899860894a4cb4,7125,0.000243375,0.096274504,3636345.516,11312.42699
229,229,Los Angeles,D,D63, ,4e9f9c5c8ffbe873,7081,0.001301272,0.231427417,19404898.57,28058.27752
230,230,Los Angeles,B,B25, ,7f43b403ee872d8e,7393,0.000151714,0.06439931,2271280.008,8059.999098
231,231,Los Angeles,B,B117, ,be561d6a679f3dfd,7079,0.000430867,0.162937837,6422744.699,18970.15926
232,232,Los Angeles,D,D41, ,bb5d18f804565f6d,7103,7.71E-05,0.075718745,1151661.227,9023.727674
233,233,Los Angeles,C,C118, ,64c41fa3c70e303f,7133,8.80E-05,0.042267297,1316152.25,5274.315072
234,234,Los Angeles,B,B100, ,fc0e50c9404a06d5,7372,6.21E-05,0.044529319,928177.3203,5529.52298
235,235,Los Angeles,A,A54, ,6435d73158785e6f,6488,2.62E-05,0.021907527,392187.4766,2700.144984
236,236,Los Angeles,B,B81, ,6164cf2a46da5acc,7405,7.69E-05,0.037656557,1149371.035,4537.958767
237,237,Los Angeles,D,D35, ,d2fb0238fb8251b,7193,0.000218572,0.10315478,3269865.16,12604.47201
238,238,Los Angeles,C,C28, ,f519ca7f9249aba,7353,0.000118918,0.094139543,1781079.852,11532.10661
239,239,Los Angeles,C,C48, ,7d0d4feaf7e17d81,7335,0.00081345,0.171446032,12169326.93,20773.3788
